Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
"2,019",2,1,1,10,1,1,1,1,2,919.664,"6,437.648","137,949.600",1
"2,019",2,1,1,10,1,1,2,1,1,708.795,"2,126.385","56,703.600",1
"2,019",2,1,1,10,1,1,2,1,2,810.060,"5,670.420","70,475.220",1
"2,019",2,1,1,10,1,1,2,2,2,489.076,"3,423.532","42,060.536",1
"2,019",2,1,1,10,1,1,3,1,1,"4,386.911","4,386.911","377,274.346",1
"2,019",2,1,1,10,1,1,5,1,2,"1,069.745","10,697.450","1,856,007.575",1
"2,019",2,1,1,10,1,1,5,2,1,"4,799.267","14,397.801","2,001,294.339",1
"2,019",2,1,1,10,1,1,6,1,2,"2,617.543","18,322.801","670,372.972",2
"2,019",2,1,1,10,1,1,6,2,2,"6,095.823","45,282.414","5,250,621.365",4
"2,019",2,1,1,10,1,1,7,2,2,"4,799.267","23,996.335","1,185,418.949",1
"2,019",2,1,1,10,1,1,9,1,3,"1,547.798","21,669.172","1,654,596.062",1
"2,019",2,1,1,10,1,2,2,2,2,"7,709.104","53,963.728","7,254,266.864",1
"2,019",2,1,1,10,1,2,6,2,2,"5,448.763","31,731.706","2,946,696.830",3
"2,019",2,1,1,10,1,2,7,1,2,"3,030.062","17,503.753","2,059,314.686",3
"2,019",2,1,1,10,1,2,9,1,2,"1,656.109","11,592.763","2,159,566.136",1
"2,019",2,1,1,10,2,1,2,1,1,"1,547.798","3,095.596","758,421.020",1
"2,019",2,1,1,10,2,1,3,1,2,"1,547.798","10,834.586","2,321,697.000",1
"2,019",2,1,1,10,2,1,3,2,1,"2,020.316","6,060.948","1,402,099.304",1
"2,019",2,1,1,10,2,1,4,1,0,"1,585.103",0.000,"158,510.300",1
"2,019",2,1,1,10,2,1,4,1,2,"2,136.545","8,546.180","1,499,854.590",1
"2,019",2,1,1,10,2,1,4,2,2,"5,119.215","30,715.290","286,676.040",1
"2,019",2,1,1,10,2,1,9,1,1,"10,238.892","10,238.892","2,877,128.652",1
"2,019",2,1,1,10,4,1,2,1,2,"2,462.377","12,311.885",0.000,1
"2,019",2,1,1,10,4,1,3,2,2,"1,069.745","7,488.215","213,949.000",1
"2,019",2,1,1,10,4,1,4,1,2,810.060,"4,050.300","162,012.000",1
"2,019",2,1,1,10,4,1,6,1,1,"2,881.015","8,643.045","720,253.750",1
"2,019",2,1,1,10,4,1,7,2,1,648.048,"1,944.144","129,609.600",1
"2,019",2,1,1,11,1,1,2,2,2,"3,684.343","21,147.007","1,303,527.305",2
"2,019",2,1,1,11,1,1,3,2,1,"3,779.497","3,779.497","377,949.700",1
"2,019",2,1,1,11,1,1,5,2,2,"4,807.956","25,587.578","2,754,211.870",2
"2,019",2,1,1,11,1,1,6,1,2,785.061,"5,495.427","482,027.454",1
"2,019",2,1,1,11,2,1,2,1,1,"1,720.543","1,720.543","323,462.084",1
"2,019",2,1,1,11,2,1,2,2,1,919.664,"2,758.992","345,793.664",1
"2,019",2,1,1,11,2,1,3,1,1,"2,020.316","2,020.316","606,094.800",1
"2,019",2,1,1,11,2,1,3,2,1,"1,720.543","3,441.086","688,217.200",1
